Datum;Provintie;Regio;trend
2020/04/18;Vlaams-Brabant;Flanders;-12
2020/04/18;West-Vlaanderen;Flanders;-28
2020/04/18;Oost-Vlaanderen;Flanders;-26
2020/04/18;Antwerpen;Flanders;-33
2020/04/18;Limburg;Flanders;0
2020/04/19;Oost-Vlaanderen;Flanders;16
2020/04/19;West-Vlaanderen;Flanders;-1
2020/04/19;Antwerpen;Flanders;19
2020/04/19;Limburg;Flanders;10
2020/04/19;Vlaams-Brabant;Flanders;5
2020/04/20;Limburg;Flanders;-1
2020/04/20;Oost-Vlaanderen;Flanders;14
2020/04/20;Vlaams-Brabant;Flanders;1
2020/04/20;West-Vlaanderen;Flanders;14
2020/04/20;Antwerpen;Flanders;-9
2020/04/21;Antwerpen;Flanders;-37
2020/04/21;West-Vlaanderen;Flanders;-19
2020/04/21;Vlaams-Brabant;Flanders;0
2020/04/21;Oost-Vlaanderen;Flanders;-27
2020/04/21;Limburg;Flanders;-8
2020/04/22;Antwerpen;Flanders;-49
2020/04/22;Oost-Vlaanderen;Flanders;-27
2020/04/22;Limburg;Flanders;-11
2020/04/22;Vlaams-Brabant;Flanders;-9
2020/04/22;West-Vlaanderen;Flanders;-17
2020/04/23;Oost-Vlaanderen;Flanders;-19
2020/04/23;Antwerpen;Flanders;-13
2020/04/23;West-Vlaanderen;Flanders;-15
2020/04/23;Vlaams-Brabant;Flanders;-9
2020/04/23;Limburg;Flanders;-13
2020/04/24;Limburg;Flanders;-4
2020/04/24;Oost-Vlaanderen;Flanders;-21
2020/04/24;Vlaams-Brabant;Flanders;-1
2020/04/24;Antwerpen;Flanders;-6
2020/04/24;West-Vlaanderen;Flanders;-17
2020/04/25;Vlaams-Brabant;Flanders;-2
2020/04/25;West-Vlaanderen;Flanders;-28
2020/04/25;Oost-Vlaanderen;Flanders;-12
2020/04/25;Limburg;Flanders;0
2020/04/25;Antwerpen;Flanders;-27
2020/04/26;Limburg;Flanders;1
2020/04/26;Antwerpen;Flanders;-7
2020/04/26;Vlaams-Brabant;Flanders;0
2020/04/26;Oost-Vlaanderen;Flanders;7
2020/04/26;West-Vlaanderen;Flanders;-4
2020/04/27;West-Vlaanderen;Flanders;5
2020/04/27;Oost-Vlaanderen;Flanders;8
2020/04/27;Antwerpen;Flanders;6
2020/04/27;Vlaams-Brabant;Flanders;3
2020/04/27;Limburg;Flanders;2
2020/04/28;Vlaams-Brabant;Flanders;-7
2020/04/28;Antwerpen;Flanders;-18
2020/04/28;Limburg;Flanders;-2
2020/04/28;Oost-Vlaanderen;Flanders;-26
2020/04/28;West-Vlaanderen;Flanders;-20
2020/04/29;Limburg;Flanders;-4
2020/04/29;Oost-Vlaanderen;Flanders;-26
2020/04/29;Antwerpen;Flanders;-29
2020/04/29;West-Vlaanderen;Flanders;-19
2020/04/29;Vlaams-Brabant;Flanders;-4
2020/04/30;Vlaams-Brabant;Flanders;-14
2020/04/30;West-Vlaanderen;Flanders;-43
2020/04/30;Limburg;Flanders;-6
2020/04/30;Antwerpen;Flanders;-27
2020/04/30;Oost-Vlaanderen;Flanders;-31
2020/05/01;West-Vlaanderen;Flanders;-28
2020/05/01;Antwerpen;Flanders;-39
2020/05/01;Limburg;Flanders;-6
2020/05/01;Vlaams-Brabant;Flanders;-5
2020/05/01;Oost-Vlaanderen;Flanders;-10
2020/05/02;Limburg;Flanders;2
2020/05/02;Antwerpen;Flanders;-4
2020/05/02;Vlaams-Brabant;Flanders;-4
2020/05/02;Oost-Vlaanderen;Flanders;5
2020/05/02;West-Vlaanderen;Flanders;-13
2020/05/03;Antwerpen;Flanders;-1
2020/05/03;Limburg;Flanders;9
2020/05/03;Oost-Vlaanderen;Flanders;-6
2020/05/03;West-Vlaanderen;Flanders;1
2020/05/03;Vlaams-Brabant;Flanders;2
2020/05/04;Limburg;Flanders;2
2020/05/04;Vlaams-Brabant;Flanders;4
2020/05/04;Antwerpen;Flanders;-6
2020/05/04;West-Vlaanderen;Flanders;6
2020/05/04;Oost-Vlaanderen;Flanders;6
2020/05/05;Limburg;Flanders;1
2020/05/05;West-Vlaanderen;Flanders;-19
2020/05/05;Oost-Vlaanderen;Flanders;-21
2020/05/05;Antwerpen;Flanders;-23
2020/05/05;Vlaams-Brabant;Flanders;-7
2020/05/06;Oost-Vlaanderen;Flanders;-14
2020/05/06;West-Vlaanderen;Flanders;-34
2020/05/06;Limburg;Flanders;-18
2020/05/06;Vlaams-Brabant;Flanders;-8
2020/05/06;Antwerpen;Flanders;0
2020/05/07;Antwerpen;Flanders;-21
2020/05/07;West-Vlaanderen;Flanders;-10
2020/05/07;Vlaams-Brabant;Flanders;4
2020/05/07;Limburg;Flanders;-9
2020/05/07;Oost-Vlaanderen;Flanders;-20
2020/05/08;Vlaams-Brabant;Flanders;-6
2020/05/08;Limburg;Flanders;-16
2020/05/08;West-Vlaanderen;Flanders;-17
2020/05/08;Oost-Vlaanderen;Flanders;-11
2020/05/08;Antwerpen;Flanders;-46
2020/05/09;Antwerpen;Flanders;-37
2020/05/09;West-Vlaanderen;Flanders;-16
2020/05/09;Vlaams-Brabant;Flanders;-6
2020/05/09;Limburg;Flanders;-15
2020/05/09;Oost-Vlaanderen;Flanders;-13
2020/05/10;Antwerpen;Flanders;-9
2020/05/10;Limburg;Flanders;-3
2020/05/10;Vlaams-Brabant;Flanders;0
2020/05/10;West-Vlaanderen;Flanders;-1
2020/05/10;Oost-Vlaanderen;Flanders;8
2020/05/11;West-Vlaanderen;Flanders;5
2020/05/11;Antwerpen;Flanders;2
2020/05/11;Oost-Vlaanderen;Flanders;-5
2020/05/11;Limburg;Flanders;6
2020/05/11;Vlaams-Brabant;Flanders;1
2020/05/12;Vlaams-Brabant;Flanders;-5
2020/05/12;Limburg;Flanders;-13
2020/05/12;West-Vlaanderen;Flanders;-10
2020/05/12;Antwerpen;Flanders;-16
2020/05/12;Oost-Vlaanderen;Flanders;-15
2020/05/13;Oost-Vlaanderen;Flanders;-8
2020/05/13;Limburg;Flanders;-13
2020/05/13;Antwerpen;Flanders;-12
2020/05/13;Vlaams-Brabant;Flanders;-10
2020/05/13;West-Vlaanderen;Flanders;-17
2020/05/14;Antwerpen;Flanders;-23
2020/05/14;West-Vlaanderen;Flanders;-9
2020/05/14;Vlaams-Brabant;Flanders;-8
2020/05/14;Oost-Vlaanderen;Flanders;-12
2020/05/14;Limburg;Flanders;-11
2020/05/15;Limburg;Flanders;-8
2020/05/15;Antwerpen;Flanders;-14
2020/05/15;Vlaams-Brabant;Flanders;-2
2020/05/15;West-Vlaanderen;Flanders;-10
2020/05/15;Oost-Vlaanderen;Flanders;-10
2020/05/16;West-Vlaanderen;Flanders;-10
2020/05/16;Limburg;Flanders;-9
2020/05/16;Antwerpen;Flanders;-24
2020/05/16;Oost-Vlaanderen;Flanders;-21
2020/05/16;Vlaams-Brabant;Flanders;-4
2020/05/17;West-Vlaanderen;Flanders;8
2020/05/17;Limburg;Flanders;5
2020/05/17;Oost-Vlaanderen;Flanders;4
2020/05/17;Antwerpen;Flanders;-2
2020/05/17;Vlaams-Brabant;Flanders;1
2020/05/18;Oost-Vlaanderen;Flanders;3
2020/05/18;Antwerpen;Flanders;3
2020/05/18;Vlaams-Brabant;Flanders;3
2020/05/18;Limburg;Flanders;4
2020/05/18;West-Vlaanderen;Flanders;11
2020/05/19;Oost-Vlaanderen;Flanders;-12
2020/05/19;Limburg;Flanders;-7
2020/05/19;Antwerpen;Flanders;-19
2020/05/19;Vlaams-Brabant;Flanders;-7
2020/05/19;West-Vlaanderen;Flanders;-1
2020/05/20;West-Vlaanderen;Flanders;-6
2020/05/20;Antwerpen;Flanders;-18
2020/05/20;Limburg;Flanders;5
2020/05/20;Oost-Vlaanderen;Flanders;-3
2020/05/20;Vlaams-Brabant;Flanders;-8
2020/05/21;Vlaams-Brabant;Flanders;-2
2020/05/21;Antwerpen;Flanders;-19
2020/05/21;Oost-Vlaanderen;Flanders;-14
2020/05/21;Limburg;Flanders;10
2020/05/21;West-Vlaanderen;Flanders;-10
2020/05/22;West-Vlaanderen;Flanders;2
2020/05/22;Antwerpen;Flanders;2
2020/05/22;Oost-Vlaanderen;Flanders;4
2020/05/22;Limburg;Flanders;1
2020/05/22;Vlaams-Brabant;Flanders;-2
2020/05/23;Antwerpen;Flanders;-13
2020/05/23;Vlaams-Brabant;Flanders;4
2020/05/23;Limburg;Flanders;-3
2020/05/23;West-Vlaanderen;Flanders;-3
2020/05/23;Oost-Vlaanderen;Flanders;-11
2020/05/24;Oost-Vlaanderen;Flanders;1
2020/05/24;Antwerpen;Flanders;-1
2020/05/24;Limburg;Flanders;0
2020/05/24;West-Vlaanderen;Flanders;1
2020/05/24;Vlaams-Brabant;Flanders;0
2020/05/25;West-Vlaanderen;Flanders;4
2020/05/25;Vlaams-Brabant;Flanders;1
2020/05/25;Antwerpen;Flanders;6
2020/05/25;Oost-Vlaanderen;Flanders;0
2020/05/25;Limburg;Flanders;11
2020/05/26;West-Vlaanderen;Flanders;-23
2020/05/26;Limburg;Flanders;-6
2020/05/26;Oost-Vlaanderen;Flanders;-11
2020/05/26;Antwerpen;Flanders;-9
2020/05/27;Limburg;Flanders;-6
2020/05/27;Vlaams-Brabant;Flanders;-1
2020/05/27;Antwerpen;Flanders;-11
2020/05/27;West-Vlaanderen;Flanders;-5
2020/05/27;Oost-Vlaanderen;Flanders;-7
2020/05/28;Limburg;Flanders;-3
2020/05/28;Antwerpen;Flanders;-20
2020/05/28;Vlaams-Brabant;Flanders;-4
2020/05/28;West-Vlaanderen;Flanders;-17
2020/05/28;Oost-Vlaanderen;Flanders;-4
2020/05/29;Oost-Vlaanderen;Flanders;2
2020/05/29;Vlaams-Brabant;Flanders;-2
2020/05/29;Limburg;Flanders;-2
2020/05/29;Antwerpen;Flanders;-12
2020/05/29;West-Vlaanderen;Flanders;-8
2020/05/30;West-Vlaanderen;Flanders;-13
2020/05/30;Antwerpen;Flanders;-15
2020/05/30;Limburg;Flanders;-3
2020/05/30;Oost-Vlaanderen;Flanders;-11
2020/05/30;Vlaams-Brabant;Flanders;-1
2020/05/26;Vlaams-Brabant;Flanders;-3
