 Date;Province;Region;Number of reporting hospitals;Total of hospitalized patients;Total in ICU;Total under respiratory support;Total on ECMO;Number of new hospital intakes;Number of new hospital discharges
15/05/2020;Oost-Vlaanderen;Flanders;14;173;46;20;2;4;14
18/05/2020;Namur;Wallonia;6;72;13;6;3;3;0
20/05/2020;Antwerpen;Flanders;14;253;55;33;0;7;25
23/05/2020;Limburg;Flanders;7;110;18;15;0;7;10
25/05/2020;Oost-Vlaanderen;Flanders;14;118;26;7;1;1;1
28/05/2020;Limburg;Flanders;7;77;16;13;0;5;8
28/05/2020;Brabant Wallon;Wallonia;2;5;1;0;0;0;0
18/03/2020;Luxembourg;Wallonia;3;15;2;2;0;3;1
19/03/2020;Brussels;Brussels;16;156;35;24;2;33;12
19/03/2020;Limburg;Flanders;7;77;18;9;0;23;2
20/03/2020;Luik;Wallonia;12;78;18;13;1;30;4
21/03/2020;Oost-Vlaanderen;Flanders;14;126;29;19;0;52;8
23/03/2020;Luik;Wallonia;13;194;31;26;1;23;11
23/03/2020;Vlaams-Brabant;Flanders;6;136;25;16;0;32;5
24/03/2020;Vlaams-Brabant;Flanders;6;148;37;19;0;23;14
28/03/2020;Brussels;Brussels;16;630;136;108;5;90;52
28/03/2020;Luik;Wallonia;12;375;95;75;3;52;40
28/03/2020;Brabant Wallon;Wallonia;2;56;13;11;0;8;6
03/04/2020;Brabant Wallon;Wallonia;2;64;17;15;0;6;4
05/04/2020;Limburg;Flanders;7;485;103;70;0;34;37
08/04/2020;Luxembourg;Wallonia;3;116;27;17;0;12;17
09/04/2020;Vlaams-Brabant;Flanders;6;303;78;53;6;22;20
09/04/2020;Brabant Wallon;Wallonia;2;69;13;11;0;9;4
10/04/2020;Brussels;Brussels;16;902;197;158;18;59;82
12/04/2020;Vlaams-Brabant;Flanders;6;293;75;49;4;20;9
18/04/2020;Luxembourg;Wallonia;3;92;21;18;0;7;12
22/04/2020;Hainaut;Wallonia;14;676;113;77;8;49;52
25/04/2020;Vlaams-Brabant;Flanders;6;200;50;30;7;16;18
01/05/2020;Hainaut;Wallonia;14;429;68;51;7;14;58
03/05/2020;Hainaut;Wallonia;14;428;74;50;7;8;6
03/05/2020;Limburg;Flanders;7;253;57;32;3;11;2
05/05/2020;West-Vlaanderen;Flanders;11;339;64;35;0;10;29
08/05/2020;Antwerpen;Flanders;14;459;88;60;2;11;57
09/05/2020;Brabant Wallon;Wallonia;2;23;7;3;0;2;1
10/05/2020;Oost-Vlaanderen;Flanders;14;238;52;29;2;10;2
10/05/2020;Vlaams-Brabant;Flanders;6;100;23;14;4;3;3
15/05/2020;Brussels;Brussels;15;298;66;45;7;14;23
17/05/2020;Namur;Wallonia;6;72;14;7;3;1;6
18/05/2020;Vlaams-Brabant;Flanders;6;58;13;9;3;3;0
21/05/2020;Antwerpen;Flanders;14;230;49;29;0;4;23
22/05/2020;Brabant Wallon;Wallonia;2;14;3;3;0;0;0
24/05/2020;Oost-Vlaanderen;Flanders;14;118;27;8;1;2;1
25/05/2020;West-Vlaanderen;Flanders;11;217;41;19;1;6;2
26/05/2020;Hainaut;Wallonia;14;133;15;9;1;4;29
15/03/2020;Hainaut;Wallonia;15;56;13;11;1;26;1
17/03/2020;Vlaams-Brabant;Flanders;6;33;3;1;0;9;0
20/03/2020;Brussels;Brussels;16;193;46;32;2;29;4
20/03/2020;Hainaut;Wallonia;14;216;38;36;2;42;5
22/03/2020;Limburg;Flanders;7;166;30;24;0;46;10
22/03/2020;Brabant Wallon;Wallonia;2;29;5;5;0;6;0
25/03/2020;Namur;Wallonia;6;56;13;10;0;18;5
27/03/2020;Brussels;Brussels;16;581;118;92;4;93;37
27/03/2020;Vlaams-Brabant;Flanders;6;217;51;36;2;23;11
31/03/2020;Namur;Wallonia;6;118;33;29;3;16;4
02/04/2020;Brussels;Brussels;15;902;196;158;7;107;50
02/04/2020;Oost-Vlaanderen;Flanders;14;616;142;96;3;56;50
07/04/2020;Hainaut;Wallonia;15;707;147;120;9;48;78
08/04/2020;Vlaams-Brabant;Flanders;6;303;74;57;6;22;23
09/04/2020;Limburg;Flanders;7;475;93;74;3;42;36
15/04/2020;Hainaut;Wallonia;14;730;137;104;8;29;58
19/04/2020;Antwerpen;Flanders;14;793;184;148;4;38;19
19/04/2020;Vlaams-Brabant;Flanders;6;255;57;32;2;13;8
22/04/2020;Namur;Wallonia;6;181;42;25;4;14;12
30/04/2020;Limburg;Flanders;7;272;59;40;3;17;23
01/05/2020;Antwerpen;Flanders;14;524;124;84;5;14;53
02/05/2020;Luxembourg;Wallonia;3;55;11;7;0;1;0
02/05/2020;Namur;Wallonia;6;115;24;16;4;4;5
06/05/2020;Luxembourg;Wallonia;3;45;7;5;0;0;4
11/05/2020;Brabant Wallon;Wallonia;2;26;7;2;0;1;0
13/05/2020;Oost-Vlaanderen;Flanders;14;204;48;25;2;8;16
13/05/2020;West-Vlaanderen;Flanders;11;245;46;24;3;13;30
14/05/2020;Namur;Wallonia;6;86;15;8;3;4;3
18/05/2020;Luxembourg;Wallonia;3;31;3;3;0;1;0
19/05/2020;Brussels;Brussels;15;272;62;40;4;9;30
19/05/2020;Hainaut;Wallonia;14;213;32;16;2;6;23
20/05/2020;Luik;Wallonia;12;116;24;12;1;1;17
23/05/2020;Namur;Wallonia;6;59;13;5;1;2;4
25/05/2020;Antwerpen;Flanders;14;219;44;27;0;8;2
26/05/2020;Antwerpen;Flanders;14;186;38;22;0;4;13
26/05/2020;Brabant Wallon;Wallonia;2;6;1;1;0;0;2
15/03/2020;Brussels;Brussels;14;58;11;8;0;7;2
15/03/2020;Namur;Wallonia;6;2;1;1;0;0;0
16/03/2020;West-Vlaanderen;Flanders;11;25;6;7;0;9;6
19/03/2020;West-Vlaanderen;Flanders;11;75;10;8;0;22;4
20/03/2020;Vlaams-Brabant;Flanders;6;67;18;11;0;17;2
21/03/2020;Brabant Wallon;Wallonia;2;24;5;4;0;6;0
22/03/2020;Antwerpen;Flanders;14;258;42;32;1;46;6
25/03/2020;Limburg;Flanders;7;290;59;45;0;69;23
28/03/2020;Namur;Wallonia;6;85;20;19;2;16;4
31/03/2020;Brabant Wallon;Wallonia;2;64;18;17;0;6;4
02/04/2020;West-Vlaanderen;Flanders;11;578;109;67;0;60;40
11/04/2020;West-Vlaanderen;Flanders;11;633;119;69;0;42;46
12/04/2020;Luik;Wallonia;12;587;155;141;2;18;23
18/04/2020;Antwerpen;Flanders;14;776;188;151;4;21;54
19/04/2020;Limburg;Flanders;7;381;86;65;1;27;17
24/04/2020;Luik;Wallonia;12;418;102;75;0;24;34
28/04/2020;Vlaams-Brabant;Flanders;6;176;35;20;7;13;20
30/04/2020;Antwerpen;Flanders;14;544;128;88;5;22;49
30/04/2020;Oost-Vlaanderen;Flanders;14;369;101;56;0;8;39
06/05/2020;Oost-Vlaanderen;Flanders;14;293;68;39;2;7;21
07/05/2020;West-Vlaanderen;Flanders;11;287;54;31;2;16;26
09/05/2020;Brussels;Brussels;15;433;94;61;10;16;32
09/05/2020;Namur;Wallonia;6;94;19;12;3;2;8
12/05/2020;Brussels;Brussels;15;373;83;58;9;9;48
13/05/2020;Luik;Wallonia;12;162;41;22;0;7;12
14/05/2020;Brussels;Brussels;15;330;71;46;6;5;37
18/05/2020;Antwerpen;Flanders;14;296;68;41;0;5;2
27/05/2020;Limburg;Flanders;7;86;19;13;0;6;12
29/05/2020;Luik;Wallonia;12;91;13;8;2;4;11
16/03/2020;Vlaams-Brabant;Flanders;6;23;7;2;0;13;0
17/03/2020;Luxembourg;Wallonia;3;8;1;0;0;2;0
20/03/2020;Oost-Vlaanderen;Flanders;14;84;20;14;0;50;4
21/03/2020;Hainaut;Wallonia;14;224;50;42;1;31;10
23/03/2020;Hainaut;Wallonia;14;308;65;48;1;44;8
23/03/2020;Namur;Wallonia;6;34;7;6;0;9;3
01/04/2020;Luik;Wallonia;12;523;130;116;4;73;40
04/04/2020;Luxembourg;Wallonia;3;113;25;20;0;11;14
04/04/2020;Oost-Vlaanderen;Flanders;14;644;153;115;2;73;67
05/04/2020;Luik;Wallonia;12;603;152;144;2;32;21
07/04/2020;Luxembourg;Wallonia;3;125;27;19;0;12;12
10/04/2020;Limburg;Flanders;7;481;101;72;3;45;42
11/04/2020;Namur;Wallonia;6;188;50;35;4;15;7
13/04/2020;Antwerpen;Flanders;14;856;212;165;4;33;51
17/04/2020;Hainaut;Wallonia;14;734;128;94;11;48;50
17/04/2020;Luxembourg;Wallonia;3;96;22;19;1;4;5
18/04/2020;Hainaut;Wallonia;14;701;126;92;7;42;57
25/04/2020;Oost-Vlaanderen;Flanders;14;463;124;74;0;29;41
26/04/2020;Hainaut;Wallonia;14;593;98;70;9;22;13
27/04/2020;West-Vlaanderen;Flanders;11;474;84;53;1;11;6
28/04/2020;Limburg;Flanders;7;295;72;46;3;14;16
28/04/2020;Namur;Wallonia;6;134;27;20;4;13;16
01/05/2020;Brussels;Brussels;15;574;129;94;15;15;41
01/05/2020;Brabant Wallon;Wallonia;2;35;11;9;0;3;4
03/05/2020;Antwerpen;Flanders;14;530;119;76;5;13;14
04/05/2020;Luik;Wallonia;12;262;63;43;1;1;9
05/05/2020;Limburg;Flanders;7;251;53;29;3;24;23
06/05/2020;Brussels;Brussels;15;486;102;76;12;16;38
06/05/2020;Luik;Wallonia;12;201;53;33;1;10;29
07/05/2020;Antwerpen;Flanders;14;520;92;66;2;11;32
11/05/2020;Brussels;Brussels;15;416;89;59;11;9;10
14/05/2020;Luik;Wallonia;12;158;39;20;1;5;14
14/05/2020;Brabant Wallon;Wallonia;2;17;4;2;0;0;2
14/05/2020;West-Vlaanderen;Flanders;11;244;44;25;3;17;26
16/05/2020;Oost-Vlaanderen;Flanders;14;157;42;17;1;3;24
19/05/2020;Vlaams-Brabant;Flanders;6;48;15;9;2;5;12
22/05/2020;Luxembourg;Wallonia;3;26;2;2;0;1;0
25/05/2020;Brabant Wallon;Wallonia;2;10;1;1;0;0;1
30/05/2020;Vlaams-Brabant;Flanders;6;18;2;1;0;0;1
16/03/2020;Hainaut;Wallonia;13;89;19;14;1;28;0
17/03/2020;Brussels;Brussels;16;115;23;16;1;16;5
19/03/2020;Namur;Wallonia;6;8;2;1;0;1;0
22/03/2020;Vlaams-Brabant;Flanders;5;91;17;12;0;20;5
24/03/2020;Brussels;Brussels;15;319;77;49;4;52;17
26/03/2020;Hainaut;Wallonia;14;416;95;69;2;50;19
28/03/2020;Limburg;Flanders;7;418;89;58;0;48;18
29/03/2020;Luxembourg;Wallonia;3;101;17;14;0;11;2
29/03/2020;Brabant Wallon;Wallonia;2;60;15;12;0;7;3
01/04/2020;Vlaams-Brabant;Flanders;6;330;72;56;4;42;22
02/04/2020;Namur;Wallonia;6;140;37;20;2;19;4
03/04/2020;Luxembourg;Wallonia;3;121;25;20;0;15;10
05/04/2020;Brussels;Brussels;15;899;203;164;14;66;44
05/04/2020;West-Vlaanderen;Flanders;11;661;128;83;1;36;28
07/04/2020;Limburg;Flanders;7;491;98;71;3;45;48
09/04/2020;Luxembourg;Wallonia;3;111;27;19;0;13;7
16/04/2020;Brabant Wallon;Wallonia;2;65;14;10;0;2;5
20/04/2020;Luxembourg;Wallonia;3;93;23;15;0;1;1
23/04/2020;Luxembourg;Wallonia;3;80;17;12;0;7;10
23/04/2020;Oost-Vlaanderen;Flanders;14;522;132;79;1;19;38
26/04/2020;Luxembourg;Wallonia;3;70;15;10;0;2;2
27/04/2020;Brussels;Brussels;15;679;157;109;15;24;10
12/05/2020;Luxembourg;Wallonia;3;34;4;3;0;1;0
19/05/2020;Luik;Wallonia;12;131;29;13;1;2;16
29/05/2020;Luxembourg;Wallonia;3;13;2;1;0;0;3
30/05/2020;Antwerpen;Flanders;14;117;36;16;1;8;23
17/03/2020;Hainaut;Wallonia;14;108;25;18;1;27;3
17/03/2020;Brabant Wallon;Wallonia;2;10;2;2;0;3;1
19/03/2020;Luik;Wallonia;13;59;5;2;0;21;4
20/03/2020;Brabant Wallon;Wallonia;2;19;4;4;0;4;0
25/03/2020;Luik;Wallonia;12;252;58;40;1;53;14
26/03/2020;Brussels;Brussels;16;482;114;83;3;76;30
26/03/2020;Luxembourg;Wallonia;3;72;20;11;0;17;7
27/03/2020;West-Vlaanderen;Flanders;11;413;77;46;0;70;22
28/03/2020;Oost-Vlaanderen;Flanders;14;456;103;70;2;77;39
31/03/2020;Oost-Vlaanderen;Flanders;14;591;130;87;1;67;50
04/04/2020;Limburg;Flanders;7;506;109;71;0;43;60
05/04/2020;Hainaut;Wallonia;14;728;149;123;9;41;16
07/04/2020;Oost-Vlaanderen;Flanders;14;691;157;122;2;61;75
07/04/2020;Brabant Wallon;Wallonia;2;66;16;13;0;5;3
08/04/2020;Namur;Wallonia;6;173;48;35;3;39;6
10/04/2020;Brabant Wallon;Wallonia;2;68;15;10;0;5;5
12/04/2020;Hainaut;Wallonia;14;748;140;110;10;40;27
13/04/2020;Vlaams-Brabant;Flanders;6;295;70;48;4;14;3
17/04/2020;Luik;Wallonia;12;501;135;100;2;26;44
17/04/2020;Vlaams-Brabant;Flanders;6;263;59;36;4;21;21
21/04/2020;Namur;Wallonia;6;184;39;25;4;8;17
22/04/2020;Brabant Wallon;Wallonia;2;39;12;9;0;0;7
24/04/2020;Namur;Wallonia;6;152;37;22;4;4;16
28/04/2020;Luik;Wallonia;12;364;85;56;1;19;37
28/04/2020;Luxembourg;Wallonia;3;64;12;9;0;0;5
30/04/2020;Namur;Wallonia;6;128;26;18;5;9;9
02/05/2020;Limburg;Flanders;7;252;61;32;3;7;5
07/05/2020;Luik;Wallonia;12;190;54;31;1;8;18
07/05/2020;Brabant Wallon;Wallonia;2;27;6;5;0;0;1
10/05/2020;Limburg;Flanders;7;172;43;25;2;3;6
12/05/2020;Limburg;Flanders;7;164;36;19;2;4;17
12/05/2020;Luik;Wallonia;12;173;41;25;0;8;12
12/05/2020;Namur;Wallonia;6;90;16;10;3;2;10
17/05/2020;Oost-Vlaanderen;Flanders;14;154;38;16;1;9;5
22/05/2020;Namur;Wallonia;6;65;11;6;2;0;2
24/05/2020;Luxembourg;Wallonia;3;23;2;2;0;0;0
26/05/2020;Limburg;Flanders;7;93;18;11;0;0;6
27/05/2020;Namur;Wallonia;6;37;10;5;1;2;2
15/03/2020;Luxembourg;Wallonia;3;4;0;0;0;3;0
15/03/2020;Brabant Wallon;Wallonia;2;5;2;2;0;1;0
21/03/2020;Luik;Wallonia;13;124;27;16;1;38;7
21/03/2020;Namur;Wallonia;6;22;4;3;1;9;0
30/03/2020;West-Vlaanderen;Flanders;11;538;91;58;0;49;13
03/04/2020;Hainaut;Wallonia;15;705;155;128;7;47;25
07/04/2020;Brussels;Brussels;16;938;202;172;18;79;78
10/04/2020;Antwerpen;Flanders;14;907;216;181;3;44;78
14/04/2020;Antwerpen;Flanders;14;843;207;168;4;41;50
15/04/2020;Namur;Wallonia;6;189;49;33;5;7;12
16/04/2020;Hainaut;Wallonia;14;714;135;106;8;63;54
23/04/2020;Luik;Wallonia;12;435;109;77;0;21;45
24/04/2020;West-Vlaanderen;Flanders;11;510;88;55;1;25;42
27/04/2020;Limburg;Flanders;7;312;79;45;2;7;5
02/05/2020;Brussels;Brussels;15;558;124;92;14;6;17
02/05/2020;Hainaut;Wallonia;14;425;73;51;6;12;10
03/05/2020;Oost-Vlaanderen;Flanders;14;333;79;40;2;2;8
04/05/2020;Brussels;Brussels;16;544;121;80;12;19;7
04/05/2020;Luxembourg;Wallonia;3;51;11;6;0;0;1
06/05/2020;Brabant Wallon;Wallonia;2;27;7;5;0;2;5
07/05/2020;Luxembourg;Wallonia;3;44;5;5;0;1;3
12/05/2020;West-Vlaanderen;Flanders;11;246;45;27;3;8;18
16/05/2020;Brussels;Brussels;15;301;64;42;5;12;27
20/05/2020;Hainaut;Wallonia;14;197;26;12;2;10;16
20/05/2020;Brabant Wallon;Wallonia;2;13;3;3;0;2;0
22/05/2020;West-Vlaanderen;Flanders;11;215;38;17;1;6;4
24/05/2020;Antwerpen;Flanders;14;215;46;25;0;5;6
26/05/2020;West-Vlaanderen;Flanders;11;193;33;15;1;6;29
28/05/2020;Luxembourg;Wallonia;3;17;3;1;0;0;6
28/05/2020;Vlaams-Brabant;Flanders;6;25;6;4;3;0;4
15/03/2020;Oost-Vlaanderen;Flanders;14;16;5;1;0;5;1
16/03/2020;Luxembourg;Wallonia;3;5;1;1;0;0;1
16/03/2020;Namur;Wallonia;6;4;1;1;0;1;1
17/03/2020;Antwerpen;Flanders;14;89;14;10;1;17;5
17/03/2020;Luik;Wallonia;12;29;5;3;0;5;2
17/03/2020;Oost-Vlaanderen;Flanders;14;32;8;4;0;10;2
21/03/2020;Brussels;Brussels;16;248;56;34;2;40;11
03/04/2020;Antwerpen;Flanders;13;851;214;175;1;76;64
08/04/2020;Oost-Vlaanderen;Flanders;14;670;161;116;2;48;62
12/04/2020;Antwerpen;Flanders;14;877;212;170;4;34;56
12/04/2020;Oost-Vlaanderen;Flanders;14;673;179;124;3;26;38
13/04/2020;Namur;Wallonia;6;190;48;35;4;10;1
15/04/2020;Antwerpen;Flanders;14;803;205;167;4;33;78
19/04/2020;Hainaut;Wallonia;14;695;121;91;8;30;14
20/04/2020;Vlaams-Brabant;Flanders;6;248;56;30;2;6;5
25/04/2020;Limburg;Flanders;7;311;76;45;2;28;28
26/04/2020;Vlaams-Brabant;Flanders;6;198;48;27;7;4;4
01/05/2020;Namur;Wallonia;6;115;26;17;2;7;16
01/05/2020;Vlaams-Brabant;Flanders;6;136;30;17;5;8;13
03/05/2020;Luxembourg;Wallonia;3;55;11;6;0;0;0
03/05/2020;Vlaams-Brabant;Flanders;6;140;28;18;5;4;2
03/05/2020;Brabant Wallon;Wallonia;2;32;10;5;0;0;1
06/05/2020;Hainaut;Wallonia;14;366;54;44;5;12;33
10/05/2020;Namur;Wallonia;6;95;19;11;3;3;1
13/05/2020;Luxembourg;Wallonia;3;34;4;3;0;2;1
19/05/2020;Luxembourg;Wallonia;3;28;3;3;0;0;1
19/05/2020;Brabant Wallon;Wallonia;2;14;4;3;0;1;3
21/05/2020;Limburg;Flanders;7;114;20;14;0;17;7
29/05/2020;Limburg;Flanders;7;72;17;10;0;3;5
29/05/2020;Namur;Wallonia;6;28;5;2;1;1;3
15/03/2020;Vlaams-Brabant;Flanders;6;14;2;0;0;2;0
16/03/2020;Oost-Vlaanderen;Flanders;14;23;6;2;0;4;0
22/03/2020;Namur;Wallonia;6;27;7;3;2;4;0
25/03/2020;Antwerpen;Flanders;14;495;98;72;1;99;10
28/03/2020;Luxembourg;Wallonia;3;90;17;13;0;15;5
02/04/2020;Brabant Wallon;Wallonia;2;65;19;16;0;7;4
06/04/2020;Brussels;Brussels;15;921;203;165;15;47;31
06/04/2020;Luik;Wallonia;12;619;151;143;3;36;24
09/04/2020;Antwerpen;Flanders;14;917;219;184;2;60;69
09/04/2020;Hainaut;Wallonia;14;712;154;125;9;67;44
09/04/2020;West-Vlaanderen;Flanders;11;644;122;72;0;45;48
10/04/2020;Luxembourg;Wallonia;3;118;24;19;0;9;4
10/04/2020;Namur;Wallonia;6;187;51;32;4;17;12
10/04/2020;Vlaams-Brabant;Flanders;6;298;73;51;5;29;27
11/04/2020;Antwerpen;Flanders;14;895;208;164;4;60;83
11/04/2020;Luxembourg;Wallonia;3;112;21;18;1;8;9
14/04/2020;Limburg;Flanders;7;463;98;71;2;30;13
16/04/2020;Antwerpen;Flanders;14;817;200;156;4;48;58
16/04/2020;West-Vlaanderen;Flanders;11;618;114;67;1;22;36
17/04/2020;Brussels;Brussels;15;824;174;130;17;47;53
20/04/2020;Namur;Wallonia;6;195;43;26;4;17;1
21/04/2020;Brabant Wallon;Wallonia;2;47;13;10;0;3;6
24/04/2020;Antwerpen;Flanders;14;650;154;116;5;30;36
25/04/2020;Brabant Wallon;Wallonia;2;37;10;7;0;4;2
27/04/2020;Luik;Wallonia;12;397;96;62;1;11;12
27/04/2020;Luxembourg;Wallonia;3;72;14;10;0;3;1
27/04/2020;Namur;Wallonia;6;144;31;21;4;6;2
28/04/2020;Hainaut;Wallonia;14;543;83;59;7;20;66
28/04/2020;West-Vlaanderen;Flanders;11;443;78;49;3;20;40
29/04/2020;Brabant Wallon;Wallonia;2;37;12;11;0;2;4
30/04/2020;Luik;Wallonia;12;302;79;51;1;17;21
30/04/2020;Brabant Wallon;Wallonia;2;35;11;10;0;3;2
05/05/2020;Hainaut;Wallonia;14;389;60;47;5;28;58
25/05/2020;Namur;Wallonia;6;56;11;5;1;0;1
16/03/2020;Brussels;Brussels;15;81;14;11;0;11;4
18/03/2020;Brabant Wallon;Wallonia;2;14;3;3;0;5;0
19/03/2020;Vlaams-Brabant;Flanders;6;50;11;7;0;10;1
22/03/2020;Luxembourg;Wallonia;3;44;11;7;0;8;2
25/03/2020;Brabant Wallon;Wallonia;2;40;10;10;0;9;3
30/03/2020;Antwerpen;Flanders;14;818;162;128;1;77;31
01/04/2020;Luxembourg;Wallonia;3;111;22;18;0;19;12
03/04/2020;Namur;Wallonia;6;144;39;31;2;8;7
05/04/2020;Oost-Vlaanderen;Flanders;14;659;151;117;2;41;28
06/04/2020;Vlaams-Brabant;Flanders;6;320;72;58;5;17;7
06/04/2020;West-Vlaanderen;Flanders;11;676;127;77;1;33;25
08/04/2020;Brabant Wallon;Wallonia;2;67;15;11;0;9;7
09/04/2020;Brussels;Brussels;15;907;198;156;17;80;72
13/04/2020;Luik;Wallonia;12;582;153;129;2;20;14
14/04/2020;Namur;Wallonia;6;191;48;32;4;9;5
17/04/2020;Oost-Vlaanderen;Flanders;14;625;144;99;4;32;50
18/04/2020;Luik;Wallonia;12;490;128;90;2;37;44
19/04/2020;Luik;Wallonia;12;504;128;91;2;25;10
19/04/2020;Luxembourg;Wallonia;3;94;22;18;0;3;1
21/04/2020;Antwerpen;Flanders;14;747;170;133;4;39;76
01/05/2020;Luxembourg;Wallonia;3;54;11;6;0;1;6
04/05/2020;Antwerpen;Flanders;14;534;118;71;4;13;19
04/05/2020;Namur;Wallonia;6;121;23;14;4;6;2
04/05/2020;Vlaams-Brabant;Flanders;6;141;28;15;4;5;1
08/05/2020;Brabant Wallon;Wallonia;2;23;7;5;0;0;3
10/05/2020;Hainaut;Wallonia;14;300;50;36;5;13;8
11/05/2020;Limburg;Flanders;7;176;41;19;2;10;4
11/05/2020;Luik;Wallonia;12;181;49;27;0;3;3
13/05/2020;Antwerpen;Flanders;14;381;77;47;1;12;24
